customerid,firstname,lastname,email,phone,age,gender,country,city,signupdate,lastpurchasedate,totalpurchases,totalspend,preferredcategory,membershipstatus,churnriskscore,lastactivity,subscriptiontype,leadscore,marketingsegment,notes
db7c88f6-283c-486b-a2de-16999d5a50ba,Brandon Russell,Brett Miles,susanmason@example.org,(402)874-2069x60050,my,different,Nicaragua,Yolandashire,play,pressure,he,somebody,spend,great,certain,blood,doctor,try,past,Sea party thing. Rather medical TV. Quite represent office social appear poor. Structure test general reach camera bar. Few realize article benefit since audience ago. Course use capital.
48d3abd3-cc97-44a3-b057-01fe5eca7a20,Ryan Moore,Manuel Brooks,brian08@example.net,4907818487,case,relate,Guam,Taylorfurt,door,reach,financial,learn,discuss,professional,serve,adult,continue,call,explain,Air structure together pick loss student start. Five health operation behavior light. Audience share middle enjoy. Tax already central leave health red few person.
30ad52c5-41cb-4dc7-bc64-e4cf52c88870,Julia Trevino,Raymond Paul,colemanjames@example.net,352.618.6538,international,join,Northern Mariana Islands,Port Francisbury,recently,law,firm,soldier,office,meeting,hotel,practice,mind,term,somebody,Local amount better. Must financial white ground ok recently here. Sound drive yard situation cell drive. Total yard economy.
4f686c49-c879-4e0c-90e0-2eaf5b21821e,Douglas Haney,Frederick Graham,brooke66@example.net,617.575.6184,eye,cost,Iran,West Leslie,our,talk,rock,movie,shoulder,through,room,decision,policy,different,spring,Arm artist election finish. Difficult movie current particularly surface six tonight crime. Ask modern professional section throughout very doctor.
b9162a46-472a-46c3-839a-4f5108e1f8ff,Pamela Atkins,Kelly Gordon,ramseyjessica@example.org,+1-932-872-1764,begin,book,Bolivia,Lake Tammie,exactly,take,painting,easy,new,news,respond,build,must,level,before,Art along picture process approach note prepare him. Magazine move also high machine market idea. Bit bit candidate college city turn decide.
154604e9-1d84-494c-8312-3d3163204dde,Micheal Hernandez,Hannah Sullivan,everettdavid@example.net,833.704.7114x25417,report,else,United Arab Emirates,Stevensburgh,better,away,story,throughout,agree,decide,money,law,hospital,family,increase,Crime question summer several chair daughter. Short field clear assume. What real word. Than speak city bad bag.
c860c14b-28e5-4ac9-8d36-241f34b3368c,Sarah Oneal,Donald Berger,sweaver@example.com,870.626.7665x41068,tough,enter,Saint Lucia,Wardville,resource,keep,win,eye,boy,himself,last,together,goal,start,head,Bar research up treat when. Eye hold others drive. Decide establish citizen physical technology.
a4e360e7-34b9-4a9d-8b97-6194c5952416,Rebecca Dawson,Melanie Rasmussen,hollyfigueroa@example.net,+1-488-634-1446x91067,finish,understand,Brazil,Stewartside,reduce,woman,husband,heavy,many,against,your,civil,degree,first,gas,Read business continue establish reach worry. I visit program task. See indicate hospital majority protect.
d0036ec9-b72b-4bd9-bc75-bc4516c0ae7e,David Carr,Benjamin Moore,zmurray@example.com,+1-652-463-7079,successful,radio,Grenada,North Eric,middle,four,this,you,society,arm,others,region,front,first,central,Drop measure worker without few trial health. Avoid generation interest low.
ac8818f3-a1da-48bb-925e-299cbd633955,Robert Hoffman,Angela Hughes,rgiles@example.org,(645)549-3793x9216,century,unit,Guyana,Richardmouth,section,college,foreign,trouble,power,like,call,even,until,knowledge,meet,Civil determine its news continue present economy model. Into night sit nearly. Attorney change ask guy. Lot one bag.
1f91f47a-c85e-452a-a83f-3d66fae1248e,Shannon Brown MD,Carrie Paul PhD,davisashley@example.org,(217)739-3669x8579,seem,attack,Tanzania,Port Tinaton,institution,others,fish,add,option,all,various,at,know,keep,happy,Real throw still stage it action. Serious mission network idea firm lot interview writer. Carry man attack laugh must form spring let. Score although chair often.
ae77b4b8-0cd8-4a8e-84e3-12b214ea99f5,Erin Bowman,Mrs. Lori Gonzalez,hdawson@example.com,716-920-3407x959,movement,dog,Croatia,West Charlesville,process,forget,with,billion,parent,send,huge,resource,hope,reduce,mention,Government if best hit. Be others require either suddenly later. Pick rate side go factor they. Central main bag without. Local beautiful want fact range cup physical before. Learn change treat eye.
648b9b98-d067-4a98-a68c-241b4bcca77c,Michael Lynch II,Marie Howe,kjohnson@example.com,(531)468-5462x3932,relationship,plan,Guernsey,Kimberlyborough,these,identify,movement,stand,see,within,relate,material,miss,growth,evidence,Election world shoulder avoid popular year son. Now eight car authority star. Cause big ever so firm step.
30145ce2-b73b-40ee-a4bd-3fb071039507,William Maddox,Scott Berger,patricia83@example.org,4147844463,out,bed,Suriname,Greerburgh,which,along,name,risk,future,college,spring,method,north,short,feel,Theory every foot industry similar. Pass form especially mind particular interesting.
808b52e3-4077-49aa-b6bb-2e95bc82a0d0,Devin Patel,Michael Smith,nguyenkendra@example.org,836.426.8392,one,reflect,Tajikistan,West Randyfurt,receive,time,admit,watch,difference,thank,ten,development,few,factor,always,Guy their two entire across. Beautiful worry artist however miss condition painting per.
38da4329-3877-4a44-8364-94e372f22f8d,Bianca Brown,Robin Kaiser,maxwellmichael@example.com,(959)423-7323,its,about,Congo,Philipshire,interesting,water,allow,food,floor,factor,southern,certain,police,claim,admit,Front the sound adult coach fly. Leave important instead unit president. Hand military kitchen including thousand including outside move.
f7997eb3-1ec7-49f5-81ed-87e056dfe7c3,Joyce Cox,Michelle Moore,allisonpalmer@example.org,2668826921,college,miss,Sierra Leone,Nguyentown,box,offer,need,idea,second,market,stuff,talk,occur,finally,go,Process sure soon entire still side total. Agent machine try grow customer. Office ball either Mr last available federal.
d1daa5d4-96b1-4722-a0e1-4f9d17ac0291,Nicole Bauer,Gregory Hatfield,kathleen44@example.net,001-914-594-2222x606,realize,blue,Russian Federation,Hopkinstown,authority,argue,explain,recognize,cold,international,those,southern,finish,something,control,Account party exist our blue eat if. Environment dream during risk example boy. Begin bit base. Attack west present us body. Color even rock speak discuss own. Rule or other out reduce agent.
c1c99cd6-45ab-483b-a03b-eb51fba1bbbf,Patricia Bishop,Katherine Hampton,christopherchen@example.net,+1-355-731-4262x5764,with,exactly,Bahamas,West Christopherville,head,fast,inside,yet,save,nice,rule,few,ability,they,federal,Thing wrong impact magazine. Detail into month relationship. Most window never program trial nor.
689dbff3-e86d-4e7b-ad44-465f4780954a,Brian Tate,Mary Shaw,robinsonjesse@example.net,(340)517-8014x19440,character,air,Iceland,Jeffersonmouth,far,avoid,generation,production,significant,move,economic,whatever,rule,continue,produce,Big sea wind task fund. Protect bed himself group participant. Stop phone lay side class. Energy store camera analysis everybody line. Development out these stand true fall budget land.
5c3d1f8a-ada1-404c-b315-4c29d2072f5f,Patricia Jordan,Christine Luna,gailjackson@example.org,+1-515-349-7434x46522,enter,side,Cote d'Ivoire,Wadeview,my,street,agent,kitchen,chair,health,information,indicate,reason,all,drug,These possible many present add. Most ten hotel industry high get natural rest. Deep write per blue against commercial check force.
fbbc6b61-0db8-46a6-8cfe-14525a28dbae,John Roth,Jennifer Anderson,patriciaharrison@example.net,395-808-5165x906,among,role,Mozambique,Lake Justinstad,would,language,lawyer,cost,start,south,market,nearly,give,third,safe,Tell close available often side last capital strategy. Employee arm nothing candidate their. Doctor moment animal smile bring sea various.
09e8b029-7e95-465c-9c27-5761a2c981c8,Amber Garcia,John Shannon,tracyadams@example.net,586.412.8915x96304,me,rise,Saint Pierre and Miquelon,Lake Annaton,contain,store,kitchen,she,computer,now,they,music,road,executive,media,Into clearly well minute. Trouble little rule member work as. Continue here generation happen Mr house strategy. Score kid rule near heart. Risk account sense name enjoy different character.
80591426-1584-45f3-ba71-97a925cd1820,Gene Tyler,Dominique Randall,hoffmannathaniel@example.net,001-270-674-9514,over,toward,Algeria,Smithland,case,there,huge,indeed,information,probably,agree,hour,shoulder,think,professor,Line ground read job. Represent case since goal bag still mission. Almost thus organization leader. Pattern east figure have blood debate son many.
fbed837c-eab9-4d89-8172-dd629b668347,Tina Green,Tanya Gonzalez,samantha60@example.com,001-721-926-1447x073,public,customer,Macao,West Samuel,only,last,although,thought,gun,receive,than,guy,value,month,start,East piece sure side. Wear style fight short. Only necessary your admit treatment. Teach huge why call.
cc5e3ef7-69d2-4d56-9f7b-8f93e09ce193,Patrick Johns,Seth Gardner,langdawn@example.com,7904387207,now,field,Monaco,South Laura,but,four,establish,accept,nation,data,here,whose,tend,throw,or,Drive wide listen language be any. Close any help four see hotel manager. Finally bed month. Center walk democratic agent push arm. Threat protect whose lawyer site.
d0573927-6c2b-4499-bea9-76237eb1ed06,Shane Marquez,Diana Jenkins,nfowler@example.net,2718839879,play,or,Sri Lanka,Antonioland,behind,send,structure,speech,accept,money,toward,take,despite,past,this,Fish occur tonight special each anything. Well suddenly west every forward arrive actually successful. Happen available cup real part. Score present responsibility whole lose expect trial.
fb5f8bf3-65bb-4f93-98fd-2cbbcd91c049,Shane Norris,Dominique Ballard,wrightstephanie@example.org,(677)356-5185x2029,accept,before,French Guiana,South David,country,describe,outside,enough,right,become,interest,argue,perhaps,understand,wall,Give show fall fund several. Discussion carry even head voice process drop. Again who point great thought.
433af388-f667-452a-a3de-bed5aeddc06f,Joseph Owens,Lance Johnson,ofritz@example.org,373-788-3039,career,actually,Palau,Smithchester,book,shoulder,call,a,attention,strong,specific,war,rich,store,key,Memory people away mean hour there. Course school believe travel positive key fast. Phone now necessary speech well cause.
848e0f74-2b9b-4078-88db-c310e5862e61,Laura Mendoza,Katelyn Smith,anthony14@example.net,+1-899-279-8961x89897,drug,spend,Saint Vincent and the Grenadines,North Ashley,deep,situation,home,the,base,commercial,paper,full,mention,picture,community,Song personal short against conference director. Thought go half require.
05881631-f67d-43e8-b55a-b343eacea0d5,Autumn Arellano,Tonya Patel,catherine68@example.net,7377648091,spend,tax,Iraq,Wallacehaven,rather,kid,store,international,share,find,especially,fight,learn,share,expect,Past economy style. Learn reflect back then. He somebody fly leader voice popular film.
396e2a01-f385-4229-a467-44c4b36eac2d,Amy Rogers,Christopher Lewis,phorne@example.org,001-540-811-9166x93598,wife,any,Bouvet Island (Bouvetoya),Lake Bethborough,thus,late,many,would,despite,audience,health,charge,agree,natural,town,Series camera resource ten above family. Big what reflect fly impact learn. Although gas organization left order option. Trip senior above adult. Night guess opportunity.
5bc48b1a-e176-40a2-b3ff-812cc6230d21,Kimberly Bailey,Tracy Bailey,sandra50@example.net,(733)427-3827x088,meeting,couple,Nicaragua,Ericbury,impact,generation,half,station,fill,author,want,series,meet,dog,order,Popular side message return type clearly service. Sell when day play miss environment. Central road nature southern according fact.
c8ff635e-247f-445b-8e3d-711cbf708384,Nancy Jones,Suzanne Kelly,downsjeffrey@example.com,(501)397-0684,social,suggest,New Zealand,West Anneborough,when,none,hair,election,office,within,follow,model,letter,professor,fine,Tonight in recently turn operation likely general. Fire fact gas safe base answer do hour.
17159354-3203-40d0-977c-3ffa13804865,Michaela Farrell,Catherine Smith,pking@example.org,724.853.1271x47042,big,game,Namibia,Port Robert,writer,control,author,role,piece,country,certainly,poor,anything,only,month,Wish rise in strategy method drop southern. For miss yet church. Apply hot experience fast. Address bill capital three system guess language. Stage whether forget no between remain.
ca3e3454-6ac1-4b9b-b396-7a102867f9de,Julie Cruz,Michelle Jones,jennifer02@example.net,+1-592-765-9210x00979,strategy,language,Iceland,Lake Wendystad,again,range,oil,listen,vote,pressure,ahead,federal,protect,me,as,Establish assume direction member security when take. Grow to within commercial car night. Imagine side hit since. Hope top talk each set. Forget billion small form positive.
a6a0cc77-94a4-4779-a074-6cb27b7b481b,Monica Fuller,Amanda Gregory,eyang@example.com,532-664-0905,industry,sport,Cyprus,Jenniferhaven,paper,at,bring,once,foot,might,including,big,effort,site,news,Network myself leave there. Offer better drop. Her rate interview. Much positive range market day along. Material music action.
42063e5d-0618-4d90-b2c4-a1483eb1dff6,Lauren Johnson,Calvin Ryan,prandall@example.com,985.758.8181,in,apply,Denmark,Leahmouth,control,military,only,religious,particular,me,yeah,house,move,across,report,Whose as trouble product gun discover dog. Dog model arm job argue leader do. Open serious concern clear suddenly effort police. Series southern run although. Seem former form cover evening.
c21b8c22-84d5-4519-933b-27e91742f6b9,Mike Hall,Ethan Burke,osbornemike@example.net,(555)271-2785,drive,board,Paraguay,Davenportport,coach,hot,approach,plant,enough,ever,behind,officer,participant,ready,goal,Nice federal pretty experience next main. Evening western buy sometimes. Letter run everyone. Forward fight type what. Wide stay manager certainly Mr call.
d3014b76-a86c-42a5-a5ed-6d47bb601f3e,Ricardo Gibson,Daniel Hill,lisaking@example.net,(938)616-2444x926,beyond,fill,Jersey,Mosshaven,number,argue,travel,prevent,general,daughter,wall,himself,world,young,way,Work study resource. First actually under listen throughout hot the. Time Congress score society. Together child line series paper market.
ebed5d7c-66c8-4e01-9517-b3bbfc90e664,Patrick Lawrence,Brian Olson,hansenchristopher@example.net,662-244-7041x311,show,read,French Guiana,New Timothyborough,much,write,say,possible,matter,number,television,against,really,score,stock,Course call never son amount black share. Note opportunity success through half similar. Seven process why gas inside woman.
df498de5-9cb6-40bc-8c5d-2f5e3e95de14,Shane Schmidt,Kelly Miles,riversvincent@example.com,758-952-4728,level,score,Turkmenistan,East Cynthia,me,brother,put,white,true,wish,officer,each,left,strong,too,Then someone draw memory up. Name usually understand consider. Nothing carry allow hundred push wife training ask.
f863c3eb-5343-4094-abf2-40ceafc09437,Melissa Diaz,William Vaughn,ucurry@example.net,+1-450-604-0322,five,maintain,El Salvador,West Andrewfurt,produce,purpose,yet,participant,about,paper,however,view,instead,cover,past,Where husband trouble. Star price instead board ball food. Little cold my doctor response few. Research agency radio minute.
bf11b7df-f935-4125-8ed1-e3ff5fcbbb43,Robin Potter,Miss Michelle Carpenter,johnsonbonnie@example.com,+1-257-315-9525,old,assume,Norway,East Elizabeth,type,work,try,letter,still,different,movement,guy,opportunity,child,pull,Media partner through. Maybe choice save. Mother various dream reason. Interesting treat investment society ten. Out else decade these. Meeting operation positive. New us four pressure affect quite.
978253d8-e3f5-4a3a-99d0-94c27bfbf7b4,Paul Ewing,Michael Smith,thomasyoung@example.net,(474)725-3880,up,white,Jordan,East Ashleystad,after,ever,strong,grow,add,protect,eat,return,kitchen,catch,listen,Less spend note TV rather miss. Generation quality quickly eye by soon hair. Magazine want far else to wish what. Crime sell far school adult political capital.
012df45c-3233-4436-8cbd-9e5c030ac0cd,Barry Sanders,William Burch,johnsmith@example.org,7276696872,produce,of,Saint Martin,South Kelli,per,outside,yet,cultural,about,process,final,bar,investment,age,old,Less citizen interest note. Her staff successful produce. Clear throw girl civil positive they off three. Out property section.
636005ea-89ce-4809-9e01-4ae90b400bf1,Timothy Rowe,Michael Franco,iglenn@example.net,+1-209-988-4915x3139,adult,memory,Seychelles,South Denise,player,few,guy,church,they,worker,those,improve,rest,you,relate,Tonight support girl see short tough avoid. These table whole sound feeling owner physical. Too western news view. President race might our surface. Then traditional ground good window.
208cc978-7cf2-436c-9364-7a186135404d,Toni Duran,Marcus Clark,adamcampbell@example.com,675-710-9974,debate,go,Russian Federation,Thomasville,claim,expert,born,win,foot,wall,include,want,require,land,executive,Republican north real color. Long let impact expect ground newspaper. Situation over enjoy stay measure key. Toward forward eat old who continue particularly.
48c6d59d-3101-472c-a4f8-413e97124789,Nicole Johnson,Jacqueline Baker,brittany47@example.org,001-357-585-3637x5544,many,central,Antarctica (the territory South of 60 deg S),South Caitlynhaven,present,court,soldier,possible,manager,wish,so,difficult,together,quickly,pay,Discover situation growth little. Your her decision Mr production find fly writer. War chance court under western. Name chair simply hope top.
d143bfb5-5d9a-4f87-b481-6bf237807443,Betty Scott,David Fleming,jessica75@example.com,001-292-250-0450x2761,yet,he,Angola,Brianburgh,determine,structure,teach,consider,give,attack,mind,Democrat,policy,reach,drug,Democrat strong available represent onto particularly understand. Thousand everyone assume instead majority reveal themselves.
67100b9c-2e8e-4502-8e52-312627f2c94f,Jesus Weiss,Ashley Lyons,wrightashley@example.com,239.319.3886,fact,military,British Virgin Islands,North Dave,or,condition,machine,describe,late,great,participant,those,scene,all,clear,Open consumer about TV this believe. Among follow majority stop set. Walk stand out grow hot party big majority. Black election stock.
a2491db1-587f-4862-85d4-e2d491d88eca,Susan Gonzalez,Karen Bailey,crystalanderson@example.net,001-824-369-5742x0716,which,entire,Panama,Ryanville,station,huge,race,line,nation,imagine,water,east,build,one,central,Effort thank play religious. Population education west trade which camera. Brother quickly often such sing even do.
f99d6832-205a-409b-be65-bf52de421e08,Andrew Bridges,Kenneth Bruce,lopezeric@example.com,331.233.0268,church,room,Monaco,Peterfort,happen,interview,read,care,evening,room,great,weight,support,reason,employee,Sister he deep history. Event like size under station. Town study professional wonder choice go miss. Draw skin report two western practice.
8711ad9a-0f08-4c66-b48c-78e76ef8d3bb,Tammy Meyer,Jason Rich,christopherherrera@example.net,+1-923-810-0349x6925,friend,she,Philippines,East Jason,model,history,focus,feel,environmental,dream,place,fly,change,staff,economic,Trip analysis again past finally do. Production method stuff box perform after.
cd527a33-54d9-43d7-b0b8-9105937dd813,Curtis Wiggins,Michael Hudson MD,robertoobrien@example.net,(713)317-1480x439,only,shoulder,Bhutan,Cheryltown,why,official,class,war,street,bad,Democrat,school,could,section,chance,Near appear need fight cold. Development list member at everyone other upon.
fb69a33e-a55c-4fe2-8138-7667b9bd13d1,Mary Hale,Shannon Jackson,hannah80@example.com,+1-500-777-0333x133,past,compare,Saint Helena,New Brenda,land,well,win,employee,worry,effort,political,nice,imagine,take,of,Lead let throughout house down something newspaper. Defense whose own source election speech. Manager former song southern common. Popular many many worry anyone reach.
87c4e6f0-223c-41fa-8291-59121155a3ab,Amanda Hinton,Shaun Coleman,kelly52@example.net,775.938.3703,accept,whom,Western Sahara,Powersfurt,film,kitchen,father,debate,amount,training,goal,beat,hope,still,foot,Design order protect stage beyond majority Mr Republican. Close others serious of even speak. Design election phone way reason.
9b8fa754-0b6c-4af1-b32a-7698d21fc86e,Molly Cooper,Lindsey Hernandez,jmorton@example.org,278.915.6167,never,rest,Kiribati,New Derektown,billion,choice,method,case,mind,memory,listen,mother,difference,finish,money,Line from present turn letter method leg. Young woman and follow kid left morning.
52df1609-1739-4f9a-96a2-b4822601f20e,Kimberly Fox,David Wood,wesley36@example.com,903-928-7143x981,director,although,Burkina Faso,New Courtneyberg,property,course,effect,goal,alone,mother,pass,fill,ready,few,effect,Million cause establish national far loss scientist. Without crime body media relate. Court face which fill least commercial space.
24c3c02d-f499-4b99-acd4-9c3ec080a466,Cheryl Delgado,Matthew Price,olozano@example.org,680.483.2626x450,summer,either,Faroe Islands,Lake Robertport,total,determine,and,drug,series,response,theory,each,either,detail,month,Administration morning owner apply site. Building cut worry third back authority.
9533d6fa-ff04-4c6c-bde3-61ec61cadc7a,Katherine Christian,Jessica Doyle,whitetina@example.org,323-930-2146x011,feeling,condition,Sierra Leone,Johnhaven,picture,officer,out,police,citizen,middle,me,national,pass,although,impact,Happy conference especially improve. Modern argue right media return. Build light check total. Strong newspaper science owner.
ffc3f858-263e-4b60-9a8d-9539ff4c8135,Kayla Barber,David Yang,vbush@example.org,247.333.5589,water,it,Ethiopia,Sylviachester,weight,behind,lose,economic,reality,would,sea,it,item,give,country,Show method situation any organization time. Mouth rather brother material letter. Office discussion week add.
f82c1b25-8a35-4c5f-a799-eaac626b6090,Scott Jenkins,Patricia Kline,uburton@example.org,489-232-2225x0679,together,well,Montserrat,East Gerald,number,agree,level,pressure,American,itself,final,research,her,clear,sea,Development number method effort commercial morning. Leave yes stuff someone yourself choose by. Fast foreign treatment into fill indicate low. Fund name second her purpose receive family.
